X|Y|OBJECTID|primary_key|final_case_type|occ_year|occ_dt|obfAddress|priority|zone|grid|how_received|unit_id1|unit_id2|unit_id3|report_flag|case_status|cleared_by|x_rand|y_rand|disclaimer|place_name|CFSType
-111.923392015131824|33.334679842982908|3172|TE201372564|VEHICL|2013|2013-06-11T07:02:42.000Z| WARNER RD / S TERRACE RD|2|6|3502|S|T605|||N|Y|8|697946|849299|Point has not been altered||Other Officer Initiated Call
-111.893737898619392|33.41849371851351|3173|TE201372565|647|2013|2013-06-11T07:09:37.000Z|2XXX E ORANGE ST|2|2|1112|S|1P21|||N|Y|2|706996|879795|Point has not been altered|ESCALANTE PARK|Suspicious Person/Vehicle Call
-111.919858801027502|33.416742316090691|3174|TE201372562|651C|2013|2013-06-11T06:57:54.000Z|1XXX E LEMON ST|2|2|1004|T|1P24|||N|Y|2|699026|879157|Point has not been altered||Animal Call
-111.93982518964421|33.407412112311206|3175|TE201372556|3511|2013|2013-06-11T06:39:17.000Z| MILL AVE / W BROADWAY RD[JW|2|1|0912|S|1P12|||Y|Y|5|692933|875763|Point has not been altered||3511 Vehicle Impound Call
-111.890332711854015|33.407491182769135|3176|TE201372566|585|2013|2013-06-11T07:14:05.000Z| BROADWAY RD / S PRICE RD NB|2|2|1207|T|1P22|||N|Y|2|708036|875792|Point has not been altered||Traffic Hazard Call
-111.942792324364632|33.423214837864478|3177|TE201372567|VEHICL|2013|2013-06-11T07:24:27.000Z|7XX S ASH AVE|2|DT|0707|S|T607|||N|Y|8|692029|881513|Point has not been altered|CHASE GARAGE|Other Officer Initiated Call
-111.934916492403545|33.392890336319596|3178|TE201372569|VEHICL|2013|2013-06-11T07:42:23.000Z| SOUTHERN AVE / S COLLEGE AVE[JN|2|3|1414|S|T605|||N|Y|8|694430|870479|Point has not been altered||Other Officer Initiated Call
-111.904126650853286|33.400146849672467|3179|TE201372571|900|2013|2013-06-11T07:44:09.000Z| LOS FELIZ DR / E ALAMEDA DR|2|4|1602|T|1P41|||N|Y|2|703827|873119|Point has not been altered||Check Welfare Call
-111.936561317739447|33.393098962894804|3180|TE201372573|VEHICL|2013|2013-06-11T07:53:03.000Z|2XX E SOUTHERN AVE|2|3|1413|S|T605|||N|Y|2|693928|870555|Point has not been altered|CHESAPEAKE APARTMENTS|Other Officer Initiated Call
-111.942392079255413|33.421928670612544|3181|TE201372570|VEHICL|2013|2013-06-11T07:42:38.000Z| UNIVERSITY DR / S ASH AVE|2|DT|0707|S|T607|||N|Y|8|692151|881045|Point has not been altered||Other Officer Initiated Call
